family,mean_sales_without_promotion,mean_sales_with_promotion,promotion_mean_sales_ratio,rows_without_promotion,rows_with_promotion,has_enough_promotion_support
SCHOOL AND OFFICE SUPPLIES,1.0220183697428697,44.52910705476073,43.56977171160224,86882.0,4054.0,True
BABY CARE,0.10962446222065733,1.6603773584905661,15.146047924490427,90883.0,53.0,False
PET SUPPLIES,3.507379129069331,15.835244022273175,4.514836702719102,87883.0,3053.0,True
HOME AND KITCHEN II,10.275239048254392,41.158133164770334,4.005564539324512,71952.0,18984.0,True
PRODUCE,792.1019107829167,2438.2201968245195,3.0781647710135847,60152.0,30784.0,True
HOME APPLIANCES,0.4568762516780739,1.396551724137931,3.0567395854096073,90878.0,58.0,False
LAWN AND GARDEN,5.5107030817494005,16.78686200378072,3.046228721590212,86704.0,4232.0,True
HOME CARE,101.95600876742354,309.44486446616264,3.035082171292634,58398.0,32538.0,True
PLAYERS AND ELECTRONICS,6.081521196177029,17.363957597173144,2.8551997168222467,90087.0,849.0,True
BEAUTY,3.0784524987784865,8.291265629216515,2.6933225809092214,79819.0,11117.0,True
LADIESWEAR,7.0999381051328525,19.097826086956523,2.6898581092065967,90476.0,460.0,False
CELEBRATION,7.9459219150755205,19.969168483338525,2.5131342463171853,87725.0,3211.0,True
BEVERAGES,1292.272590553389,3215.498307707185,2.488250800344078,39231.0,51705.0,True
HOME AND KITCHEN I,16.837739408389446,39.460279413778935,2.3435615943858683,76334.0,14602.0,True
AUTOMOTIVE,5.853087094057941,13.241977734119187,2.2623920541969134,87882.0,3054.0,True
FROZEN FOODS,106.52434938889796,228.99753431021776,2.149720093329986,55116.0,35820.0,True
HARDWARE,1.1360402625435002,2.371212121212121,2.0872606362587653,90804.0,132.0,False
DAIRY,479.81112767235436,933.341720126128,1.9452273327922343,44951.0,45985.0,True
SEAFOOD,19.207319680484066,35.43302657165278,1.8447668472793282,74370.0,16566.0,True
LINGERIE,7.053474912170075,12.551221804511279,1.7794380728363242,88808.0,2128.0,True
GROCERY I,2717.720813421439,4411.003431230883,1.623052452425276,34050.0,56886.0,True
"LIQUOR,WINE,BEER",76.47493118229502,120.69637774180946,1.5782476149485218,73019.0,17917.0,True
POULTRY,313.334512833572,485.0061131526594,1.547886023683165,71232.0,19704.0,True
MEATS,303.08108758763603,467.3016308709242,1.541836986894815,69468.0,21468.0,True
PERSONAL CARE,220.87896783986338,338.74669770605004,1.5336303905206603,52705.0,38231.0,True
BREAD/BAKERY,379.51324925478474,575.4852963068182,1.516377352929959,52040.0,38896.0,True
DELI,221.76338163303342,321.66580055411737,1.4504910512520914,51457.0,39479.0,True
CLEANING,868.3783263475972,1240.210741482966,1.4281917268701274,41036.0,49900.0,True
MAGAZINES,2.9272062306531392,4.0,1.3664906688544085,90777.0,159.0,False
EGGS,154.70393192025844,210.01994105018014,1.357560460444109,63455.0,27481.0,True
GROCERY II,21.302750285167818,27.47406513872135,1.2896956858124724,86791.0,4145.0,True
PREPARED FOODS,92.48189513408091,114.541036497907,1.2385238898039945,73258.0,17678.0,True
BOOKS,0.07079704407495381,,,90936.0,,False
