date,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct
2017-08-14,1782,760922.4060808,843632.5,0.5618328839462674,79.29699500758004,0.18570519671161143,46.41422701886507,0.1086972231158545
2017-08-11,1782,826373.722022,843632.5,0.5507255547364632,92.80445476627517,0.20012439164794693,9.685093494061476,0.020885025922881512
2017-08-13,1782,865639.677471,843632.5,0.5451769255744061,83.36993125509406,0.1716247780261375,-12.349673873503058,-0.025422955318865584
2017-08-08,1782,717766.3491055,843632.5,0.5435868237309514,111.72602688764334,0.27738243811777885,70.63199187593577,0.17535819236966937
2017-08-06,1782,1049559.1642770001,843632.5,0.5430427852164579,146.96068787468283,0.24951804024605542,-115.55926242905862,-0.19620295135094853
2017-08-10,1782,651386.9119697,843632.5,0.5421933526550566,130.50021786430267,0.35700961127847275,107.88195659860693,0.2951328052898614
2017-08-12,1782,792630.5350784999,843632.5,0.5382646256477389,88.04469177167222,0.19794296812143553,28.620664169426238,0.06434526717402636
2017-08-15,1782,762661.935939,843632.5,0.5354722799645886,102.47707524367323,0.23944311296903603,45.4380598706047,0.1061684330551064
2017-08-07,1782,797464.9638169999,843632.5,0.5247489330082964,69.95846367035514,0.15632784876700975,25.907741196081677,0.057892944400265794
2017-08-09,1782,734139.67401,843632.5,0.5216088133225831,103.12300480390081,0.25031366791116666,61.44381852885383,0.14914448638955602
2017-08-04,1782,827775.686128,843632.5,0.5123286836418841,82.84027397804591,0.17833498942133813,8.898357183174832,0.01915600176007777
2017-08-03,1782,728068.4851320001,843632.5,0.5054342961122024,101.04135197867441,0.24730597863105336,64.85077076117707,0.15872692728276186
2017-08-05,1782,965693.650492,843632.5,0.4942726815900045,93.35148108809994,0.17226202037700175,-68.4966845474649,-0.12639732258920305
2017-08-02,1782,964712.016051,843632.5,0.4741715880879911,95.57625352796708,0.17654686678830944,-67.94582346946265,-0.12550839567461294
2017-07-31,1782,885856.8408705001,843632.5,0.47240853004887273,68.2273708948356,0.1372469786598064,-23.694883413065348,-0.04766490508849054
2017-08-01,1782,988527.763204,843632.5,0.4670989174368239,106.27117777596405,0.191573009728091,-81.31044027810462,-0.14657676796648633
