family,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct
SCHOOL AND OFFICE SUPPLIES,864,51795.0,3966.2856,1.6422430476375474,55.91013566949577,0.9326451823234743,-55.35730828813933,-0.9234233876040617
"LIQUOR,WINE,BEER",864,84091.0,80656.57,0.693693181315155,45.031167365886546,0.4626764886150239,-3.975033265573007,-0.040841811150480765
GROCERY II,864,25031.0,29641.715,0.679503423578125,12.670469530202725,0.4373491140623688,5.33647475860737,0.18420015945974064
LINGERIE,864,6716.0,5418.8574,0.6622683571798458,4.084573425076626,0.5254722214511919,-1.501322771664019,-0.19314217908244674
CELEBRATION,864,10768.0,11615.999,0.6073990189352472,5.6065641600224705,0.4498580455292919,0.9814814616132665,0.07875185576094561
LADIESWEAR,864,8711.0,9832.0,0.5801886772919862,4.505042968680048,0.44683241016410985,1.2974536296118189,0.12868785856785805
HARDWARE,864,1252.0,1272.5714,0.5557051339491679,1.113260579769741,0.768256502333112,0.02380952314922103,0.016430853035884162
SEAFOOD,864,17260.919022000002,17428.572,0.5543246399243797,5.260623027158004,0.26332191754514533,0.1940435845402963,0.009712904442059666
BEAUTY,864,5757.0,4672.572,0.5531427470628044,2.8069609898245997,0.42126355657607334,-1.2551256346481818,-0.18836695298524042
MAGAZINES,864,6146.0,5551.4287,0.544103261125747,2.9640376940369606,0.41668216199933844,-0.6881613723105855,-0.09674120170457953
AUTOMOTIVE,864,6381.0,6098.857,0.5384945316225768,3.0438988048721245,0.4121499086991875,-0.3265542255507575,-0.04421608695750737
HOME AND KITCHEN I,864,27020.0,26548.57,0.5102635264027628,11.226190445599732,0.3589721889340551,-0.545634905497233,-0.017447392981110636
LAWN AND GARDEN,864,12908.0,14062.285,0.49676563517562644,5.309771809037085,0.355410818330341,1.33597884244389,0.08942405638917889
PET SUPPLIES,864,7283.0,7370.285,0.491170356288392,3.0058697080929524,0.35659363281509143,0.10102512356307772,0.011984856070094623
HOME AND KITCHEN II,864,26789.0,25828.0,0.48490886685829876,11.374090660501409,0.36683766959099695,-1.1122683595727991,-0.03587292779390416
PLAYERS AND ELECTRONICS,864,10084.0,9857.143,0.4835839053850163,3.6916335906695434,0.31630022038263444,-0.26256611612108016,-0.022496739818386877
EGGS,864,172529.0,170869.72,0.39585587218372875,54.249586520371615,0.27167399540715514,-1.9204691427725333,-0.009617428602469549
FROZEN FOODS,864,110014.157977,112347.44,0.37488787520277606,34.35891929923983,0.2698389627337739,2.700561891120064,0.02120895634556001
HOME APPLIANCES,864,173.0,322.85712,0.3674675062639287,0.42948082046307345,2.144921554220205,0.17344576699866188,0.8662262583054559
CLEANING,864,1065243.0,1.1409468e+06,0.3670241157530916,346.8018349541558,0.28128491377121523,87.62020421911168,0.07106721794493134
BABY CARE,864,160.0,168.0,0.3060472530264825,0.2634755283921819,1.4227678533177823,0.009259258086482683,0.04999999366700649
MEATS,864,321070.52664299996,324616.9,0.30325485727784335,87.91020487457615,0.23656614578045002,4.104605320194952,0.011045482853029597
HOME CARE,864,251893.0,277210.28,0.30218201537780587,73.32729911804199,0.2515146766205821,29.302414929425275,0.10050809867294223
PREPARED FOODS,864,75871.65404200001,76339.81,0.2955718152590251,16.470517299441727,0.18756052080847094,0.5418455989888509,0.006170349169759927
POULTRY,864,323560.26891,338349.44,0.2897407893736963,80.01628143760908,0.21366673786924145,17.117071023062245,0.045707556782997545
PERSONAL CARE,864,277631.0,263021.7,0.28691011994412985,69.42724911371867,0.21606068210773627,-16.90889471548575,-0.05262123118160324
PRODUCE,864,1977480.37616,2.031502e+06,0.28245713641845216,475.9721269634897,0.20796156697899956,62.524775540002885,0.027318301975499133
BEVERAGES,864,3005407.0,3.108517e+06,0.27694792197648016,738.2934143631546,0.21224596535835766,119.34044958043981,0.03430821464031328
DELI,864,261902.894004,272391.47,0.2395517019507765,56.34729502839153,0.185885929552908,12.139542660074868,0.04004753325919528
BREAD/BAKERY,864,466795.50089,466484.4,0.2324001484092208,87.47273496416445,0.16190482312906354,-0.36006394716616374,-0.0006664486906116835
GROCERY I,864,3980412.484,3.9028118e+06,0.2216383720798841,775.4987261940286,0.16833202642312903,-89.81539082392939,-0.01949559197289338
DAIRY,864,721034.0,752379.44,0.2167926027893581,133.887155674122,0.16043418549255847,36.279439290364586,0.043472895240550376
BOOKS,864,9.0,20.000002,0.08198801183079778,0.03141534454361708,3.0158730761872397,0.012731482171350054,1.2222222884496052
