feature,importance_gain,importance_split,importance_gain_pct,importance_split_pct,gain_rank,split_rank,feature_group
sales_rolling_mean_7_shift_16,101848059.50057662,1511,0.587233310610562,0.04290176036342987,1,8,historical_sales
sales_lag_21,43542338.417969346,1395,0.2510554611083664,0.03960817717206133,2,9,historical_sales
sales_rolling_mean_28_shift_16,7869209.891345501,1862,0.04537211802604877,0.05286768881317433,3,5,historical_sales
sales_lag_16,5891257.066144228,1187,0.033967680951154065,0.03370244179443498,4,12,historical_sales
family,3572612.430911541,6439,0.020598890500419936,0.18282226007950028,5,1,store_product
sales_lag_28,2806113.421906829,1254,0.016179427303529045,0.035604770017035776,6,10,historical_sales
dcoilwtico,1186312.8492866755,2241,0.006840016641677097,0.06362862010221465,7,4,oil
month,1137158.3497589827,3051,0.00655660270496985,0.08662691652470188,8,3,calendar
onpromotion,949232.8998759985,818,0.00547306626231294,0.023225440090857467,9,15,promotion
sales_rolling_mean_14_shift_16,784034.5732347965,948,0.004520569369033507,0.026916524701873935,10,14,historical_sales
store_nbr,778884.2776975632,5807,0.004490873907835887,0.164877910278251,11,2,store_product
day_of_month,756422.2782297134,1728,0.0043613630033069355,0.04906303236797274,12,6,calendar
year,652759.9341914654,1171,0.0037636689306487637,0.03324815445769449,13,13,calendar
week_of_year,488900.8961136341,1702,0.002818894078032527,0.04832481544576945,14,7,calendar
day_of_week,231563.2786232233,1241,0.00133514247977382,0.03523566155593413,15,11,calendar
holiday_type_holiday,222629.33879852295,123,0.0012836313652196478,0.003492333901192504,16,21,holiday_encoded
city,125506.82324838638,818,0.0007236444924112405,0.023225440090857467,17,15,store_product
holiday_locale_national,125454.17322826385,199,0.0007233409240784527,0.005650198750709824,18,19,holiday_encoded
is_weekend,111436.60012841225,212,0.0006425187081372171,0.006019307211811471,19,18,calendar
calendar_event_count,77977.48872542381,118,0.0004496008964910044,0.003350369108461102,20,23,events
has_transferred_event,66925.34094977379,60,0.00038587666493001546,0.0017035775127768314,21,26,events
is_month_start,57801.75859618187,51,0.0003332721136366493,0.0014480408858603066,22,28,calendar
cluster,51865.66050744057,551,0.0002990458892995931,0.015644520159000568,23,17,store_product
dcoilwtico_missing_before_imputation,30468.95491051674,145,0.00017567723283766037,0.0041169789892106755,24,20,oil
oil_row_exists_in_raw,28248.5852560997,40,0.0001628750741187192,0.001135718341851221,25,29,oil
state,7425.219534873962,97,4.2812168153773894e-05,0.0027541169789892105,26,24,store_product
holiday_type_event,7269.660111904144,123,4.191524704015446e-05,0.003492333901192504,27,21,holiday_encoded
transferred_event_count,6830.608434677124,12,3.938377249649187e-05,0.00034071550255536625,28,37,events
holiday_type_additional,6159.257409095764,57,3.5512911458322494e-05,0.0016183986371379898,29,27,holiday_encoded
has_non_transferred_event,4698.229277133942,30,2.708894745710116e-05,0.0008517887563884157,30,32,events
store_type,3012.368153333664,63,1.736864631623087e-05,0.001788756388415673,31,25,store_product
is_month_end,2302.5253462791443,37,1.327585020755921e-05,0.0010505394662123793,32,30,calendar
holiday_type_transfer,2079.173659801483,35,1.1988053945913333e-05,0.0009937535491198182,33,31,holiday_encoded
holiday_locale_regional,1518.640040397644,18,8.756141480961817e-06,0.0005110732538330494,34,35,holiday_encoded
dcoilwtico_was_imputed,1195.1827540397644,20,6.891158544217982e-06,0.0005678591709256105,35,34,oil
holiday_locale_local,659.0292472839355,18,3.7998163987556504e-06,0.0005110732538330494,36,35,holiday_encoded
holiday_type_bridge,214.55742955207825,25,1.2370905276918508e-06,0.0007098239636570131,37,33,holiday_encoded
holiday_type_work_day,177.84568762779236,8,1.0254187702308566e-06,0.00022714366837024418,38,38,holiday_encoded
non_transferred_event_count,161.92481517791748,2,9.33622552586714e-07,5.6785917092561044e-05,39,39,events
is_calendar_event,144.40373849868774,2,8.325999124474844e-07,5.6785917092561044e-05,40,39,events
unique_locale_names,105.6780014038086,1,6.09315905745998e-07,2.8392958546280522e-05,41,41,events
