date,rows,actual_total_sales,predicted_total_sales,rmsle,mae,wape,bias,total_bias_pct,mean_absolute_error,total_absolute_error,error_contribution_pct
2017-07-31,1782.0,885856.8408705001,822685.5227228568,0.4071108652838634,61.63875376666375,0.12399323925100435,-35.44967348352584,-0.07131097851608509,61.63875376666375,109840.2592121948,0.05653856794589267
2017-08-01,1782.0,988527.763204,932465.5619616037,0.39992780914306103,79.57764158991763,0.14345308507432258,-31.460270057461457,-0.056712824190884,79.57764158991763,141807.35731323322,0.07299313534205115
2017-08-02,1782.0,964712.016051,900616.5248582561,0.39874639268339146,66.33724820711215,0.122537062188748,-35.968289109283866,-0.06644002575516322,66.33724820711215,118212.97630507385,0.060848294066740374
2017-08-03,1782.0,728068.4851320001,738391.6380942378,0.4005909496246901,58.07686264526574,0.14214729980394647,5.793015130324241,0.01417882132388426,58.07686264526574,103492.96923386355,0.053271398983564484
2017-08-04,1782.0,827775.686128,821862.0358392582,0.41833715777700564,63.909937611736524,0.13758257307222227,-3.318546738912374,-0.007144025111927928,63.909937611736524,113887.50882411448,0.05862182684220911
2017-08-05,1782.0,965693.650492,976254.0942088226,0.3856334464770067,67.29664937133806,0.1241828908356459,5.92617492526524,0.01093560438286223,67.29664937133806,119922.62917972443,0.06172831133828184
2017-08-06,1782.0,1049559.1642770001,1050121.897234394,0.41028119221367365,68.28121336264465,0.11593164668906619,0.3157872937115726,0.0005361612537407615,68.28121336264465,121677.12221223276,0.06263140938484994
2017-08-07,1782.0,797464.9638169999,775794.7372598241,0.41518786563148147,52.7765350310572,0.11793343869954111,-12.160620963622888,-0.02717389169481894,52.7765350310572,94047.78542534393,0.04840963727297173
2017-08-08,1782.0,717766.3491055,701573.8696641633,0.42208695962188847,49.595408391805115,0.1231306230284229,-9.086688799852261,-0.02255954108397003,49.595408391805115,88379.01775419671,0.045491727132888474
2017-08-09,1782.0,734139.67401,731109.3427641349,0.39835424937809005,48.70188356939703,0.11821559247250729,-1.7005225846605692,-0.004127731211300553,48.70188356939703,86786.75652066551,0.04467213538587974
2017-08-10,1782.0,651386.9119697,649912.0452565632,0.40453691722670554,55.188316891713356,0.15097874841183156,-0.8276468648354429,-0.0022641945762726483,55.188316891713356,98345.5807010332,0.05062186065950501
2017-08-11,1782.0,826373.722022,875394.0445100609,0.4208031809354864,90.9156681766571,0.19605139463339546,27.508598478148702,0.05931979827252528,90.9156681766571,162011.72069080296,0.08339301767863078
2017-08-12,1782.0,792630.5350784999,902083.8085205292,0.4346333022399096,110.57233656687161,0.24858984740305384,61.42159003480873,0.13808864104786137,110.57233656687161,197039.90376216522,0.10142323103396768
2017-08-13,1782.0,865639.677471,968631.1618095005,0.42790990831666204,95.50150726611798,0.19659875855670167,57.795445756734374,0.11897731471759031,95.50150726611798,170183.68594822224,0.08759940990923813
2017-08-14,1782.0,760922.4060808,747618.3932609432,0.45873261237050234,58.36221296339406,0.13667814572110867,-7.4657759931855665,-0.017484059758971066,58.36221296339406,104001.46350076821,0.05353313851209151
2017-08-15,1782.0,762661.935939,713556.6551002648,0.45680651148677553,63.47502307363136,0.14831275272437114,-27.556274320277943,-0.0643866941887903,63.47502307363136,113112.49111721109,0.05822289851123734
